Q_text,Q_Braille_Symbol,Q_answer,Q_A1,Q_A2,Q_A3,Q_A4,Q_difficulty,Q_ID,Q_stage
What phrase does this Braille pattern represent: '⠺⠓⠁⠞ ⠙⠕ ⠽⠕⠥ ⠞⠓⠊⠝⠅'?,⠺⠓⠁⠞ ⠙⠕ ⠽⠕⠥ ⠞⠓⠊⠝⠅,WHAT DO YOU THINK,TELL ME MORE ABOUT IT,WHAT DO YOU THINK,THANKS FOR YOUR HELP,WOULD YOU LIKE COFFEE,1,239,24
What phrase does this Braille pattern represent: '⠺⠓⠁⠞ ⠙⠕ ⠽⠕⠥ ⠞⠓⠊⠝⠅ ⠁⠃⠕⠥⠞ ⠞⠓⠊⠎ ⠊⠙⠑⠁'?,⠺⠓⠁⠞ ⠙⠕ ⠽⠕⠥ ⠞⠓⠊⠝⠅ ⠁⠃⠕⠥⠞ ⠞⠓⠊⠎ ⠊⠙⠑⠁,WHAT DO YOU THINK ABOUT THIS IDEA,WHAT DO YOU THINK ABOUT THIS IDEA,PLEASE TAKE YOUR TIME TO DECIDE,HAVE A WONDERFUL DAY AHEAD,COULD YOU PLEASE EXPLAIN THAT AGAIN,1,240,24
What phrase does this Braille pattern represent: '⠺⠓⠑⠗⠑ ⠁⠗⠑ ⠽⠕⠥'?,⠺⠓⠑⠗⠑ ⠁⠗⠑ ⠽⠕⠥,WHERE ARE YOU,WHERE ARE YOU,WHAT TIME IS IT,MY NAME IS,SEE YOU TOMORROW,1,241,25
What phrase does this Braille pattern represent: '⠊ ⠇⠊⠅⠑ ⠊⠞'?,⠊ ⠇⠊⠅⠑ ⠊⠞,I LIKE IT,CAN YOU HELP,I LIKE IT,PLEASE AND THANK YOU,NICE TO MEET YOU,1,242,25
What phrase does this Braille pattern represent: '⠎⠑⠑ ⠽⠕⠥ ⠞⠕⠍⠕⠗⠗⠕⠺'?,⠎⠑⠑ ⠽⠕⠥ ⠞⠕⠍⠕⠗⠗⠕⠺,SEE YOU TOMORROW,HAVE A NICE DAY,SEE YOU TOMORROW,NICE TO MEET YOU,LETS GO NOW,1,243,25
What phrase does this Braille pattern represent: '⠓⠁⠧⠑ ⠁ ⠝⠊⠉⠑ ⠙⠁⠽'?,⠓⠁⠧⠑ ⠁ ⠝⠊⠉⠑ ⠙⠁⠽,HAVE A NICE DAY,WHERE ARE YOU,SEE YOU LATER,SEE YOU TOMORROW,HAVE A NICE DAY,1,244,25
What phrase does this Braille pattern represent: '⠉⠁⠝ ⠽⠕⠥ ⠓⠑⠇⠏'?,⠉⠁⠝ ⠽⠕⠥ ⠓⠑⠇⠏,CAN YOU HELP,SEE YOU TOMORROW,WHERE ARE YOU,CAN YOU HELP,MY NAME IS,1,245,25
What phrase does this Braille pattern represent: '⠉⠁⠝ ⠽⠕⠥ ⠓⠑⠇⠏'?,⠉⠁⠝ ⠽⠕⠥ ⠓⠑⠇⠏,CAN YOU HELP,LETS GO NOW,GOOD NIGHT,SEE YOU TOMORROW,CAN YOU HELP,1,246,25
What phrase does this Braille pattern represent: '⠺⠓⠑⠗⠑ ⠁⠗⠑ ⠽⠕⠥'?,⠺⠓⠑⠗⠑ ⠁⠗⠑ ⠽⠕⠥,WHERE ARE YOU,HOW ARE YOU,GOOD NIGHT,WHAT TIME IS IT,WHERE ARE YOU,1,247,25
What phrase does this Braille pattern represent: '⠓⠕⠺ ⠺⠁⠎ ⠽⠕⠥⠗ ⠙⠁⠽'?,⠓⠕⠺ ⠺⠁⠎ ⠽⠕⠥⠗ ⠙⠁⠽,HOW WAS YOUR DAY,WHAT DO YOU THINK,I NEED MORE TIME,WHERE SHOULD WE MEET,HOW WAS YOUR DAY,1,248,25
What phrase does this Braille pattern represent: '⠞⠓⠁⠝⠅⠎ ⠋⠕⠗ ⠽⠕⠥⠗ ⠓⠑⠇⠏'?,⠞⠓⠁⠝⠅⠎ ⠋⠕⠗ ⠽⠕⠥⠗ ⠓⠑⠇⠏,THANKS FOR YOUR HELP,CAN YOU EXPLAIN THIS,I NEED MORE TIME,TELL ME MORE ABOUT IT,THANKS FOR YOUR HELP,1,249,25
What phrase does this Braille pattern represent: '⠇⠑⠞ ⠍⠑ ⠅⠝⠕⠺ ⠺⠓⠑⠝ ⠽⠕⠥ ⠁⠗⠑ ⠗⠑⠁⠙⠽'?,⠇⠑⠞ ⠍⠑ ⠅⠝⠕⠺ ⠺⠓⠑⠝ ⠽⠕⠥ ⠁⠗⠑ ⠗⠑⠁⠙⠽,LET ME KNOW WHEN YOU ARE READY,PLEASE TAKE YOUR TIME TO DECIDE,WHAT DO YOU THINK ABOUT THIS IDEA,LET ME KNOW WHEN YOU ARE READY,IT WAS A PLEASURE MEETING YOU,1,250,25
What phrase does this Braille pattern represent: '⠛⠕⠕⠙ ⠝⠊⠛⠓⠞'?,⠛⠕⠕⠙ ⠝⠊⠛⠓⠞,GOOD NIGHT,PLEASE AND THANK YOU,THANK YOU,I LIKE IT,GOOD NIGHT,1,251,26
What phrase does this Braille pattern represent: '⠺⠓⠁⠞ ⠞⠊⠍⠑ ⠊⠎ ⠊⠞'?,⠺⠓⠁⠞ ⠞⠊⠍⠑ ⠊⠎ ⠊⠞,WHAT TIME IS IT,HAVE A NICE DAY,I LIKE IT,WHAT TIME IS IT,SEE YOU LATER,1,252,26
What phrase does this Braille pattern represent: '⠇⠑⠞⠎ ⠛⠕ ⠝⠕⠺'?,⠇⠑⠞⠎ ⠛⠕ ⠝⠕⠺,LETS GO NOW,NICE TO MEET YOU,MY NAME IS,SEE YOU TOMORROW,LETS GO NOW,1,253,26
What phrase does this Braille pattern represent: '⠏⠇⠑⠁⠎⠑ ⠁⠝⠙ ⠞⠓⠁⠝⠅ ⠽⠕⠥'?,⠏⠇⠑⠁⠎⠑ ⠁⠝⠙ ⠞⠓⠁⠝⠅ ⠽⠕⠥,PLEASE AND THANK YOU,PLEASE AND THANK YOU,NICE TO MEET YOU,HAVE A NICE DAY,THANK YOU,1,254,26
What phrase does this Braille pattern represent: '⠎⠑⠑ ⠽⠕⠥ ⠇⠁⠞⠑⠗'?,⠎⠑⠑ ⠽⠕⠥ ⠇⠁⠞⠑⠗,SEE YOU LATER,SEE YOU LATER,HOW ARE YOU,THANK YOU,WHAT TIME IS IT,1,255,26
What phrase does this Braille pattern represent: '⠓⠁⠧⠑ ⠁ ⠝⠊⠉⠑ ⠙⠁⠽'?,⠓⠁⠧⠑ ⠁ ⠝⠊⠉⠑ ⠙⠁⠽,HAVE A NICE DAY,SEE YOU LATER,I LIKE IT,HAVE A NICE DAY,NICE TO MEET YOU,1,256,26
What phrase does this Braille pattern represent: '⠺⠓⠁⠞ ⠞⠊⠍⠑ ⠊⠎ ⠊⠞'?,⠺⠓⠁⠞ ⠞⠊⠍⠑ ⠊⠎ ⠊⠞,WHAT TIME IS IT,HAVE A NICE DAY,PLEASE AND THANK YOU,WHAT TIME IS IT,WHERE ARE YOU,1,257,26
What phrase does this Braille pattern represent: '⠇⠑⠞ ⠍⠑ ⠞⠓⠊⠝⠅ ⠁⠃⠕⠥⠞ ⠊⠞'?,⠇⠑⠞ ⠍⠑ ⠞⠓⠊⠝⠅ ⠁⠃⠕⠥⠞ ⠊⠞,LET ME THINK ABOUT IT,I NEED MORE TIME,WHAT ARE YOUR PLANS,LET ME THINK ABOUT IT,THANKS FOR YOUR HELP,1,258,26
What phrase does this Braille pattern represent: '⠙⠕ ⠽⠕⠥ ⠥⠝⠙⠑⠗⠎⠞⠁⠝⠙ ⠍⠑'?,⠙⠕ ⠽⠕⠥ ⠥⠝⠙⠑⠗⠎⠞⠁⠝⠙ ⠍⠑,DO YOU UNDERSTAND ME,WOULD YOU LIKE COFFEE,WHAT ARE YOUR PLANS,I NEED MORE TIME,DO YOU UNDERSTAND ME,1,259,26
What phrase does this Braille pattern represent: '⠉⠕⠥⠇⠙ ⠽⠕⠥ ⠏⠇⠑⠁⠎⠑ ⠑⠭⠏⠇⠁⠊⠝ ⠞⠓⠁⠞ ⠁⠛⠁⠊⠝'?,⠉⠕⠥⠇⠙ ⠽⠕⠥ ⠏⠇⠑⠁⠎⠑ ⠑⠭⠏⠇⠁⠊⠝ ⠞⠓⠁⠞ ⠁⠛⠁⠊⠝,COULD YOU PLEASE EXPLAIN THAT AGAIN,THANK YOU FOR YOUR CONSIDERATION,HAVE A WONDERFUL DAY AHEAD,COULD YOU PLEASE EXPLAIN THAT AGAIN,LET ME KNOW WHEN YOU ARE READY,1,260,26
What phrase does this Braille pattern represent: '⠇⠑⠞⠎ ⠛⠕ ⠝⠕⠺'?,⠇⠑⠞⠎ ⠛⠕ ⠝⠕⠺,LETS GO NOW,LETS GO NOW,GOOD MORNING,CAN YOU HELP,WHAT TIME IS IT,1,261,27
What phrase does this Braille pattern represent: '⠎⠑⠑ ⠽⠕⠥ ⠇⠁⠞⠑⠗'?,⠎⠑⠑ ⠽⠕⠥ ⠇⠁⠞⠑⠗,SEE YOU LATER,CAN YOU HELP,PLEASE AND THANK YOU,SEE YOU LATER,HOW ARE YOU,1,262,27
What phrase does this Braille pattern represent: '⠛⠕⠕⠙ ⠍⠕⠗⠝⠊⠝⠛'?,⠛⠕⠕⠙ ⠍⠕⠗⠝⠊⠝⠛,GOOD MORNING,GOOD MORNING,WHERE ARE YOU,WHAT TIME IS IT,THANK YOU,1,263,27
What phrase does this Braille pattern represent: '⠛⠕⠕⠙ ⠍⠕⠗⠝⠊⠝⠛'?,⠛⠕⠕⠙ ⠍⠕⠗⠝⠊⠝⠛,GOOD MORNING,SEE YOU LATER,LETS GO NOW,GOOD MORNING,SEE YOU TOMORROW,1,264,27
What phrase does this Braille pattern represent: '⠊ ⠇⠊⠅⠑ ⠊⠞'?,⠊ ⠇⠊⠅⠑ ⠊⠞,I LIKE IT,I LIKE IT,CAN YOU HELP,WHAT TIME IS IT,NICE TO MEET YOU,1,265,27
What phrase does this Braille pattern represent: '⠺⠓⠑⠗⠑ ⠁⠗⠑ ⠽⠕⠥'?,⠺⠓⠑⠗⠑ ⠁⠗⠑ ⠽⠕⠥,WHERE ARE YOU,WHERE ARE YOU,NICE TO MEET YOU,I LIKE IT,GOOD MORNING,1,266,27
What phrase does this Braille pattern represent: '⠇⠑⠞⠎ ⠛⠕ ⠝⠕⠺'?,⠇⠑⠞⠎ ⠛⠕ ⠝⠕⠺,LETS GO NOW,WHERE ARE YOU,LETS GO NOW,NICE TO MEET YOU,I LIKE IT,1,267,27
What phrase does this Braille pattern represent: '⠉⠁⠝ ⠽⠕⠥ ⠑⠭⠏⠇⠁⠊⠝ ⠞⠓⠊⠎'?,⠉⠁⠝ ⠽⠕⠥ ⠑⠭⠏⠇⠁⠊⠝ ⠞⠓⠊⠎,CAN YOU EXPLAIN THIS,CAN YOU EXPLAIN THIS,WOULD YOU LIKE COFFEE,LET ME THINK ABOUT IT,TELL ME MORE ABOUT IT,1,268,27
What phrase does this Braille pattern represent: '⠞⠓⠁⠝⠅⠎ ⠋⠕⠗ ⠽⠕⠥⠗ ⠓⠑⠇⠏'?,⠞⠓⠁⠝⠅⠎ ⠋⠕⠗ ⠽⠕⠥⠗ ⠓⠑⠇⠏,THANKS FOR YOUR HELP,THANKS FOR YOUR HELP,TELL ME MORE ABOUT IT,LET ME THINK ABOUT IT,HOW WAS YOUR DAY,1,269,27
What phrase does this Braille pattern represent: '⠺⠕⠥⠇⠙ ⠽⠕⠥ ⠍⠊⠝⠙ ⠓⠑⠇⠏⠊⠝⠛ ⠍⠑ ⠺⠊⠞⠓ ⠞⠓⠊⠎'?,⠺⠕⠥⠇⠙ ⠽⠕⠥ ⠍⠊⠝⠙ ⠓⠑⠇⠏⠊⠝⠛ ⠍⠑ ⠺⠊⠞⠓ ⠞⠓⠊⠎,WOULD YOU MIND HELPING ME WITH THIS,WOULD YOU MIND HELPING ME WITH THIS,I LOOK FORWARD TO SEEING YOU AGAIN,THANK YOU FOR YOUR CONSIDERATION,WHAT DO YOU THINK ABOUT THIS IDEA,1,270,27
What phrase does this Braille pattern represent: '⠎⠑⠑ ⠽⠕⠥ ⠞⠕⠍⠕⠗⠗⠕⠺'?,⠎⠑⠑ ⠽⠕⠥ ⠞⠕⠍⠕⠗⠗⠕⠺,SEE YOU TOMORROW,THANK YOU,SEE YOU TOMORROW,HOW ARE YOU,WHERE ARE YOU,1,271,28
What phrase does this Braille pattern represent: '⠎⠑⠑ ⠽⠕⠥ ⠞⠕⠍⠕⠗⠗⠕⠺'?,⠎⠑⠑ ⠽⠕⠥ ⠞⠕⠍⠕⠗⠗⠕⠺,SEE YOU TOMORROW,I LIKE IT,SEE YOU TOMORROW,GOOD MORNING,WHERE ARE YOU,1,272,28
What phrase does this Braille pattern represent: '⠎⠑⠑ ⠽⠕⠥ ⠞⠕⠍⠕⠗⠗⠕⠺'?,⠎⠑⠑ ⠽⠕⠥ ⠞⠕⠍⠕⠗⠗⠕⠺,SEE YOU TOMORROW,MY NAME IS,NICE TO MEET YOU,SEE YOU TOMORROW,I LIKE IT,1,273,28
What phrase does this Braille pattern represent: '⠝⠊⠉⠑ ⠞⠕ ⠍⠑⠑⠞ ⠽⠕⠥'?,⠝⠊⠉⠑ ⠞⠕ ⠍⠑⠑⠞ ⠽⠕⠥,NICE TO MEET YOU,NICE TO MEET YOU,PLEASE AND THANK YOU,MY NAME IS,WHERE ARE YOU,1,274,28
What phrase does this Braille pattern represent: '⠞⠓⠁⠝⠅ ⠽⠕⠥'?,⠞⠓⠁⠝⠅ ⠽⠕⠥,THANK YOU,WHAT TIME IS IT,LETS GO NOW,NICE TO MEET YOU,THANK YOU,1,275,28
What phrase does this Braille pattern represent: '⠓⠁⠧⠑ ⠁ ⠝⠊⠉⠑ ⠙⠁⠽'?,⠓⠁⠧⠑ ⠁ ⠝⠊⠉⠑ ⠙⠁⠽,HAVE A NICE DAY,WHERE ARE YOU,HAVE A NICE DAY,LETS GO NOW,I LIKE IT,1,276,28
What phrase does this Braille pattern represent: '⠓⠕⠺ ⠁⠗⠑ ⠽⠕⠥'?,⠓⠕⠺ ⠁⠗⠑ ⠽⠕⠥,HOW ARE YOU,CAN YOU HELP,HOW ARE YOU,GOOD MORNING,WHERE ARE YOU,1,277,28
What phrase does this Braille pattern represent: '⠺⠕⠥⠇⠙ ⠽⠕⠥ ⠇⠊⠅⠑ ⠉⠕⠋⠋⠑⠑'?,⠺⠕⠥⠇⠙ ⠽⠕⠥ ⠇⠊⠅⠑ ⠉⠕⠋⠋⠑⠑,WOULD YOU LIKE COFFEE,CAN YOU EXPLAIN THIS,DO YOU UNDERSTAND ME,WOULD YOU LIKE COFFEE,WHAT ARE YOUR PLANS,1,278,28
What phrase does this Braille pattern represent: '⠺⠓⠁⠞ ⠁⠗⠑ ⠽⠕⠥⠗ ⠏⠇⠁⠝⠎'?,⠺⠓⠁⠞ ⠁⠗⠑ ⠽⠕⠥⠗ ⠏⠇⠁⠝⠎,WHAT ARE YOUR PLANS,DO YOU UNDERSTAND ME,WHAT ARE YOUR PLANS,WOULD YOU LIKE COFFEE,CAN YOU EXPLAIN THIS,1,279,28
What phrase does this Braille pattern represent: '⠞⠓⠁⠝⠅ ⠽⠕⠥ ⠋⠕⠗ ⠽⠕⠥⠗ ⠉⠕⠝⠎⠊⠙⠑⠗⠁⠞⠊⠕⠝'?,⠞⠓⠁⠝⠅ ⠽⠕⠥ ⠋⠕⠗ ⠽⠕⠥⠗ ⠉⠕⠝⠎⠊⠙⠑⠗⠁⠞⠊⠕⠝,THANK YOU FOR YOUR CONSIDERATION,HAVE A WONDERFUL DAY AHEAD,I WOULD APPRECIATE YOUR HELP,THANK YOU FOR YOUR CONSIDERATION,WHAT DO YOU THINK ABOUT THIS IDEA,1,280,28
What phrase does this Braille pattern represent: '⠺⠓⠑⠗⠑ ⠁⠗⠑ ⠽⠕⠥'?,⠺⠓⠑⠗⠑ ⠁⠗⠑ ⠽⠕⠥,WHERE ARE YOU,SEE YOU LATER,SEE YOU TOMORROW,WHERE ARE YOU,HAVE A NICE DAY,1,281,29
What phrase does this Braille pattern represent: '⠓⠁⠧⠑ ⠁ ⠝⠊⠉⠑ ⠙⠁⠽'?,⠓⠁⠧⠑ ⠁ ⠝⠊⠉⠑ ⠙⠁⠽,HAVE A NICE DAY,HAVE A NICE DAY,THANK YOU,PLEASE AND THANK YOU,GOOD NIGHT,1,282,29
What phrase does this Braille pattern represent: '⠍⠽ ⠝⠁⠍⠑ ⠊⠎'?,⠍⠽ ⠝⠁⠍⠑ ⠊⠎,MY NAME IS,MY NAME IS,WHERE ARE YOU,GOOD MORNING,LETS GO NOW,1,283,29
What phrase does this Braille pattern represent: '⠺⠓⠁⠞ ⠞⠊⠍⠑ ⠊⠎ ⠊⠞'?,⠺⠓⠁⠞ ⠞⠊⠍⠑ ⠊⠎ ⠊⠞,WHAT TIME IS IT,WHAT TIME IS IT,WHERE ARE YOU,SEE YOU LATER,HAVE A NICE DAY,1,284,29
What phrase does this Braille pattern represent: '⠓⠕⠺ ⠁⠗⠑ ⠽⠕⠥'?,⠓⠕⠺ ⠁⠗⠑ ⠽⠕⠥,HOW ARE YOU,HOW ARE YOU,LETS GO NOW,GOOD MORNING,SEE YOU TOMORROW,1,285,29
What phrase does this Braille pattern represent: '⠉⠁⠝ ⠽⠕⠥ ⠓⠑⠇⠏'?,⠉⠁⠝ ⠽⠕⠥ ⠓⠑⠇⠏,CAN YOU HELP,GOOD MORNING,LETS GO NOW,SEE YOU TOMORROW,CAN YOU HELP,1,286,29
What phrase does this Braille pattern represent: '⠺⠓⠁⠞ ⠞⠊⠍⠑ ⠊⠎ ⠊⠞'?,⠺⠓⠁⠞ ⠞⠊⠍⠑ ⠊⠎ ⠊⠞,WHAT TIME IS IT,WHAT TIME IS IT,NICE TO MEET YOU,LETS GO NOW,SEE YOU TOMORROW,1,287,29
What phrase does this Braille pattern represent: '⠓⠕⠺ ⠉⠁⠝ ⠊ ⠓⠑⠇⠏ ⠽⠕⠥'?,⠓⠕⠺ ⠉⠁⠝ ⠊ ⠓⠑⠇⠏ ⠽⠕⠥,HOW CAN I HELP YOU,DO YOU UNDERSTAND ME,TELL ME MORE ABOUT IT,LET ME THINK ABOUT IT,HOW CAN I HELP YOU,1,288,29
What phrase does this Braille pattern represent: '⠺⠕⠥⠇⠙ ⠽⠕⠥ ⠇⠊⠅⠑ ⠉⠕⠋⠋⠑⠑'?,⠺⠕⠥⠇⠙ ⠽⠕⠥ ⠇⠊⠅⠑ ⠉⠕⠋⠋⠑⠑,WOULD YOU LIKE COFFEE,WHAT ARE YOUR PLANS,LET ME THINK ABOUT IT,WHERE SHOULD WE MEET,WOULD YOU LIKE COFFEE,1,289,29
What phrase does this Braille pattern represent: '⠇⠑⠞ ⠍⠑ ⠅⠝⠕⠺ ⠺⠓⠑⠝ ⠽⠕⠥ ⠁⠗⠑ ⠗⠑⠁⠙⠽'?,⠇⠑⠞ ⠍⠑ ⠅⠝⠕⠺ ⠺⠓⠑⠝ ⠽⠕⠥ ⠁⠗⠑ ⠗⠑⠁⠙⠽,LET ME KNOW WHEN YOU ARE READY,LET ME KNOW WHEN YOU ARE READY,WOULD YOU MIND HELPING ME WITH THIS,WHAT DO YOU THINK ABOUT THIS IDEA,IT WAS A PLEASURE MEETING YOU,1,290,29
What phrase does this Braille pattern represent: '⠓⠁⠧⠑ ⠁ ⠝⠊⠉⠑ ⠙⠁⠽'?,⠓⠁⠧⠑ ⠁ ⠝⠊⠉⠑ ⠙⠁⠽,HAVE A NICE DAY,NICE TO MEET YOU,HAVE A NICE DAY,HOW ARE YOU,CAN YOU HELP,1,291,30
What phrase does this Braille pattern represent: '⠉⠁⠝ ⠽⠕⠥ ⠓⠑⠇⠏'?,⠉⠁⠝ ⠽⠕⠥ ⠓⠑⠇⠏,CAN YOU HELP,WHAT TIME IS IT,SEE YOU LATER,LETS GO NOW,CAN YOU HELP,1,292,30
What phrase does this Braille pattern represent: '⠎⠑⠑ ⠽⠕⠥ ⠞⠕⠍⠕⠗⠗⠕⠺'?,⠎⠑⠑ ⠽⠕⠥ ⠞⠕⠍⠕⠗⠗⠕⠺,SEE YOU TOMORROW,WHERE ARE YOU,SEE YOU TOMORROW,MY NAME IS,SEE YOU LATER,1,293,30
What phrase does this Braille pattern represent: '⠓⠕⠺ ⠁⠗⠑ ⠽⠕⠥'?,⠓⠕⠺ ⠁⠗⠑ ⠽⠕⠥,HOW ARE YOU,SEE YOU LATER,I LIKE IT,HOW ARE YOU,LETS GO NOW,1,294,30
What phrase does this Braille pattern represent: '⠛⠕⠕⠙ ⠝⠊⠛⠓⠞'?,⠛⠕⠕⠙ ⠝⠊⠛⠓⠞,GOOD NIGHT,THANK YOU,HOW ARE YOU,PLEASE AND THANK YOU,GOOD NIGHT,1,295,30
What phrase does this Braille pattern represent: '⠓⠁⠧⠑ ⠁ ⠝⠊⠉⠑ ⠙⠁⠽'?,⠓⠁⠧⠑ ⠁ ⠝⠊⠉⠑ ⠙⠁⠽,HAVE A NICE DAY,THANK YOU,HAVE A NICE DAY,SEE YOU TOMORROW,LETS GO NOW,1,296,30
What phrase does this Braille pattern represent: '⠎⠑⠑ ⠽⠕⠥ ⠇⠁⠞⠑⠗'?,⠎⠑⠑ ⠽⠕⠥ ⠇⠁⠞⠑⠗,SEE YOU LATER,I LIKE IT,GOOD MORNING,HAVE A NICE DAY,SEE YOU LATER,1,297,30
What phrase does this Braille pattern represent: '⠺⠓⠁⠞ ⠙⠕ ⠽⠕⠥ ⠞⠓⠊⠝⠅'?,⠺⠓⠁⠞ ⠙⠕ ⠽⠕⠥ ⠞⠓⠊⠝⠅,WHAT DO YOU THINK,HOW WAS YOUR DAY,THANKS FOR YOUR HELP,TELL ME MORE ABOUT IT,WHAT DO YOU THINK,1,298,30
What phrase does this Braille pattern represent: '⠺⠓⠁⠞ ⠁⠗⠑ ⠽⠕⠥⠗ ⠏⠇⠁⠝⠎'?,⠺⠓⠁⠞ ⠁⠗⠑ ⠽⠕⠥⠗ ⠏⠇⠁⠝⠎,WHAT ARE YOUR PLANS,WHAT DO YOU THINK,LET ME THINK ABOUT IT,WHAT ARE YOUR PLANS,HOW WAS YOUR DAY,1,299,30
What phrase does this Braille pattern represent: '⠉⠕⠥⠇⠙ ⠽⠕⠥ ⠏⠇⠑⠁⠎⠑ ⠑⠭⠏⠇⠁⠊⠝ ⠞⠓⠁⠞ ⠁⠛⠁⠊⠝'?,⠉⠕⠥⠇⠙ ⠽⠕⠥ ⠏⠇⠑⠁⠎⠑ ⠑⠭⠏⠇⠁⠊⠝ ⠞⠓⠁⠞ ⠁⠛⠁⠊⠝,COULD YOU PLEASE EXPLAIN THAT AGAIN,HAVE A WONDERFUL DAY AHEAD,WHAT DO YOU THINK ABOUT THIS IDEA,I WOULD APPRECIATE YOUR HELP,COULD YOU PLEASE EXPLAIN THAT AGAIN,1,300,30
