Q_text,Q_image,Q_answer,Q_A1,Q_A2,Q_A3,Q_A4,Q_stage,Q_difficulty
What does this sign represent?,Sign_I,A2,You,Me/I,We,No,1,4
What does this sign represent?,Sign_I,A1,Me/I,You,We,No,1,4
What does this sign represent?,Sign_I,A2,We,Me/I,You,No,1,4
What does this sign represent?,Sign_I,A1,Me/I,We,You,No,1,4
What does this sign represent?,Sign_We,A2,Me/I,We,You,No,1,4
What does this sign represent?,Sign_We,A1,We,You,Me/I,No,1,4
What does this sign represent?,Sign_We,A3,Me/I,You,We,No,1,4
What does this sign represent?,Sign_We,A3,You,Me/I,We,No,1,4
What does this sign represent?,Sign_You,A3,Me/I,We,You,No,1,4
What does this sign represent?,Sign_You,A1,You,We,Me/I,No,1,4
What does this sign represent?,Sign_You,A3,We,Me/I,You,No,1,4
What does this sign represent?,Sign_I,A3,We,You,Me/I,No,1,4
What does this sign represent?,Sign_We,A2,Me/I,We,You,No,1,4
What does this sign represent?,Sign_We,A3,You,Me/I,We,No,1,4
What does this sign represent?,Sign_We,A2,You,We,Me/I,No,1,4
What does this sign represent?,Sign_No,A1,No,We,Yes,Me/I,2,4
What does this sign represent?,Sign_No,A2,Close,No,We,Yes,2,4
What does this sign represent?,Sign_Yes,A2,Close,Yes,You,We,2,4
What does this sign represent?,Sign_No,A1,No,We,Yes,Me/I,2,4
What does this sign represent?,Sign_Yes,A3,Me/I,No,Yes,You,2,4
What does this sign represent?,Sign_No,A2,You,No,Close,Me/I,2,4
What does this sign represent?,Sign_I,A2,We,Me/I,Close,You,2,4
What does this sign represent?,Sign_You,A4,No,We,Yes,You,2,4
What does this sign represent?,Sign_Close,A4,No,Yes,We,Close,2,4
What does this sign represent?,Sign_No,A4,Yes,We,Close,No,2,4
What does this sign represent?,Sign_You,A2,We,You,Yes,No,2,4
What does this sign represent?,Sign_Yes,A1,Yes,No,Me/I,You,2,4
What does this sign represent?,Sign_I,A3,Yes,We,Me/I,You,2,4
What does this sign represent?,Sign_Close,A2,No,Close,You,We,2,4
What does this sign represent?,Sign_You,A4,Close,No,Yes,You,2,4
What does this sign represent?,Sign_We,A1,We,Please,Yes,You,3,4
What does this sign represent?,Sign_I,A2,Please,Me/I,Yes,Thank_You,3,4
What does this sign represent?,Sign_Sorry,A1,Sorry,No,You,Please,3,4
What does this sign represent?,Sign_Sorry,A1,Sorry,Thank_You,Please,You,3,4
What does this sign represent?,Sign_I,A2,We,Me/I,Please,You,3,4
What does this sign represent?,Sign_You,A2,Me/I,You,No,Sorry,3,4
What does this sign represent?,Sign_Close,A2,We,Close,Me/I,You,3,4
What does this sign represent?,Sign_Sorry,A4,Please,Yes,Me/I,Sorry,3,4
What does this sign represent?,Sign_No,A3,Me/I,We,No,Sorry,3,4
What does this sign represent?,Sign_Yes,A4,You,We,Me/I,Yes,3,4
What does this sign represent?,Sign_You,A4,Please,Yes,Close,You,3,4
What does this sign represent?,Sign_We,A3,No,Me/I,We,Please,3,4
What does this sign represent?,Sign_We,A2,Yes,We,Thank_You,No,3,4
What does this sign represent?,Sign_You,A1,You,Sorry,Close,Thank_You,3,4
What does this sign represent?,Sign_We,A3,No,Sorry,We,Me/I,3,4
What does this sign represent?,Sign_You,A3,Please,Thank_You,You,Me/I,4,4
What does this sign represent?,Sign_Sorry,A4,We,Close,You,Sorry,4,4
What does this sign represent?,Sign_Thank_You,A3,Me/I,Yes,Thank_You,We,4,4
What does this sign represent?,Sign_I,A4,You,No,Hello,Me/I,4,4
What does this sign represent?,Sign_Hello,A2,Yes,Hello,Close,You,4,4
What does this sign represent?,Sign_Hello,A4,Me/I,No,We,Hello,4,4
What does this sign represent?,Sign_Close,A4,Good,No,Please,Close,4,4
What does this sign represent?,Sign_No,A1,No,Please,Close,Bad,4,4
What does this sign represent?,Sign_Thank_You,A2,Good,Thank_You,Bad,Please,4,4
What does this sign represent?,Sign_No,A4,Good,Yes,Please,No,4,4
What does this sign represent?,Sign_We,A3,Yes,Bad,We,No,4,4
What does this sign represent?,Sign_Please,A4,Close,Hello,Thank_You,Please,4,4
What does this sign represent?,Sign_You,A2,Please,You,Me/I,Yes,4,4
What does this sign represent?,Sign_Please,A4,Thank_You,We,Yes,Please,4,4
What does this sign represent?,Sign_I,A3,Bad,You,Me/I,Good,4,4
What does this sign represent?,Sign_No,A3,You,Hello,No,Eat/Food,5,4
What does this sign represent?,Sign_Water,A1,Water,Please,Good,Thank_You,5,4
What does this sign represent?,Sign_Drink,A4,Bad,You,Thank_You,Drink,5,4
What does this sign represent?,Sign_Eat,A4,Help,Sorry,Water,Eat/Food,5,4
What does this sign represent?,Sign_Hello,A3,Drink,Me/I,Hello,Bad,5,4
What does this sign represent?,Sign_Water,A4,We,You,Help,Water,5,4
What does this sign represent?,Sign_Close,A2,Yes,Close,Sorry,Drink,5,4
What does this sign represent?,Sign_Close,A1,Close,Please,Drink,Yes,5,4
What does this sign represent?,Sign_Good,A3,We,Yes,Good,Help,5,4
What does this sign represent?,Sign_Thank_You,A4,You,We,No,Thank_You,5,4
What does this sign represent?,Sign_Water,A3,Bad,Sorry,Water,Help,5,4
What does this sign represent?,Sign_Yes,A1,Yes,Eat/Food,Hello,Water,5,4
What does this sign represent?,Sign_Eat,A4,Me/I,Thank_You,We,Eat/Food,5,4
What does this sign represent?,Sign_You,A3,No,Please,You,Drink,5,4
What does this sign represent?,Sign_Sorry,A2,Close,Sorry,Good,Thank_You,5,4
What does this sign represent?,Sign_Bad,A3,Want,No,Bad,Yes,6,4
What does this sign represent?,Sign_We,A2,Bad,We,Yes,Want,6,4
What does this sign represent?,Sign_Thank_You,A3,Want,Love,Thank_You,Need,6,4
What does this sign represent?,Sign_Please,A1,Please,Want,Me/I,Yes,6,4
What does this sign represent?,Sign_Hello,A2,Help,Hello,Eat/Food,Bad,6,4
What does this sign represent?,Sign_No,A1,No,Sorry,We,Good,6,4
What does this sign represent?,Sign_Thank_You,A2,Please,Thank_You,Bad,No,6,4
What does this sign represent?,Sign_Good,A3,Hello,Yes,Good,Need,6,4
What does this sign represent?,Sign_Please,A3,Help,You,Please,Me/I,6,4
What does this sign represent?,Sign_Need,A1,Need,Good,We,Drink,6,4
What does this sign represent?,Sign_Want,A1,Want,Need,Bad,Help,6,4
What does this sign represent?,Sign_No,A4,Help,Eat/Food,Drink,No,6,4
What does this sign represent?,Sign_Please,A2,Sorry,Please,Need,You,6,4
What does this sign represent?,Sign_Good,A2,Love,Good,No,Help,6,4
What does this sign represent?,Sign_Need,A4,Water,Hello,Bad,Need,6,4
What does this sign represent?,Sign_Go,A1,Go,No,Need,Love,7,4
What does this sign represent?,Sign_Want,A1,Want,Help,Eat/Food,Hello,7,4
What does this sign represent?,Sign_Want,A3,Me/I,Need,Want,Good,7,4
What does this sign represent?,Sign_Yes,A1,Yes,You,No,Me/I,7,4
What does this sign represent?,Sign_Stop,A3,Need,Drink,Stop,Thank_You,7,4
What does this sign represent?,Sign_Drink,A4,Thank_You,Close,Please,Drink,7,4
What does this sign represent?,Sign_You,A3,Yes,Good,You,Eat/Food,7,4
What does this sign represent?,Sign_Need,A1,Need,Go,We,Help,7,4
What does this sign represent?,Sign_Go,A3,Drink,Bad,Go,Please,7,4
What does this sign represent?,Sign_You,A2,Good,You,Drink,Eat/Food,7,4
What does this sign represent?,Sign_Stop,A2,Want,Stop,Drink,Sorry,7,4
What does this sign represent?,Sign_No,A3,Hello,Please,No,Water,7,4
What does this sign represent?,Sign_No,A2,You,No,Please,Sorry,7,4
What does this sign represent?,Sign_Sorry,A3,No,Need,Sorry,Me/I,7,4
What does this sign represent?,Sign_Eat,A3,Love,Go,Eat/Food,Stop,7,4
What does this sign represent?,Sign_Yes,A2,Want,Yes,Go,Close,8,4
What does this sign represent?,Sign_Hurt,A2,Yes,Hurt,Help,Want,8,4
What does this sign represent?,Sign_Water,A3,Eat/Food,You,Water,Bad,8,4
What does this sign represent?,Sign_Water,A3,Good,We,Water,Yes,8,4
What does this sign represent?,Sign_Thank_You,A3,Hello,Drink,Thank_You,We,8,4
What does this sign represent?,Sign_Love,A3,Please,Love,Love,Go,8,4
What does this sign represent?,Sign_Hurt,A2,Water,Hurt,Good,Stop,8,4
What does this sign represent?,Sign_Hello,A2,We,Hello,Stop,Please,8,4
What does this sign represent?,Sign_No,A3,Go,Need,No,Want,8,4
What does this sign represent?,Sign_Deaf,A2,Hello,Deaf,Close,Want,8,4
What does this sign represent?,Sign_Please,A4,Drink,Thank_You,Love,Please,8,4
What does this sign represent?,Sign_Eat,A2,Love,Eat/Food,Help,Sorry,8,4
What does this sign represent?,Sign_Need,A2,Go,Need,Love,Hello,8,4
What does this sign represent?,Sign_Please,A3,Eat/Food,Me/I,Please,Deaf,8,4
What does this sign represent?,Sign_Help,A1,Help,Need,Bad,Please,8,4
What does this sign represent?,Sign_Who,A4,Love,Deaf,Hello,Who,9,4
What does this sign represent?,Sign_Want,A4,Love,No,We,Want,9,4
What does this sign represent?,Sign_Need,A3,Love,Love,Need,Help,9,4
What does this sign represent?,Sign_Go,A4,Open,Please,You,Go,9,4
What does this sign represent?,Sign_Deaf,A2,Want,Deaf,Good,Sorry,9,4
What does this sign represent?,Sign_Love,A2,Eat/Food,Love,Close,Yes,9,4
What does this sign represent?,Sign_Please,A2,Stop,Please,Good,Water,9,4
What does this sign represent?,Sign_I,A4,Drink,Open,Hurt,Me/I,9,4
What does this sign represent?,Sign_Thank_You,A3,Want,Yes,Thank_You,Go,9,4
What does this sign represent?,Sign_Water,A3,Yes,Thank_You,Water,Help,9,4
What does this sign represent?,Sign_Who,A4,Eat/Food,Love,Thank_You,Who,9,4
What does this sign represent?,Sign_Help,A1,Help,Hello,Close,Me/I,9,4
What does this sign represent?,Sign_When,A2,Who,When,Hurt,Close,9,4
What does this sign represent?,Sign_Hello,A4,Go,Play,Please,Hello,9,4
What does this sign represent?,Sign_Deaf,A2,Yes,Deaf,Love,Water,9,4
What does this sign represent?,Sign_Open,A4,Drink,Where,Yes,Open,10,4
What does this sign represent?,Sign_Need,A4,Help,Open,Play,Need,10,4
What does this sign represent?,Sign_I,A2,Where,Me/I,Thank_You,Water,10,4
What does this sign represent?,Sign_Water,A1,Water,We,Love,Play,10,4
What does this sign represent?,Sign_Play,A1,Play,Hurt,Go,Me/I,10,4
What does this sign represent?,Sign_Who,A1,Who,Close,Yes,When,10,4
What does this sign represent?,Sign_Want,A1,Want,Who,Water,Love,10,4
What does this sign represent?,Sign_Hello,A3,No,Hurt,Hello,Open,10,4
What does this sign represent?,Sign_Love,A3,Stop,Sorry,Love,Yes,10,4
What does this sign represent?,Sign_I,A2,Sorry,Me/I,Stop,Love,10,4
What does this sign represent?,Sign_Want,A1,Want,Hurt,We,Please,10,4
What does this sign represent?,Sign_Hello,A3,Me/I,Stop,Hello,Hurt,10,4
What does this sign represent?,Sign_I,A2,Thank_You,Me/I,You,Hello,10,4
What does this sign represent?,Sign_Bad,A4,Help,Sorry,When,Bad,10,4
What does this sign represent?,Sign_Open,A3,No,Thank_You,Open,Love,10,4
